Date,Year,Workout,Movement,Total Reps,Percent_1_RM,1_Rep_Max,Weight_per_Rep,Total_Weight_lbs,Formatted Result
1/31/20,2020,Deadlift : 20-20-20,Deadlift,60,0.75,450,335,20100,"20100 lbs | 335 lbs, 335 lbs, and 335 lbs"
1/29/20,2020,Deadlift : 20-20-20,Deadlift,60,0.7,450,315,18900,"18900 lbs | 315 lbs, 315 lbs, and 315 lbs"
1/27/20,2020,Deadlift : 20-20-20,Deadlift,60,0.8,450,360,21600,"21600 lbs | 360 lbs, 360 lbs, and 360 lbs"
1/24/20,2020,Deadlift : 20-20-20,Deadlift,60,0.7,450,315,18900,"18900 lbs | 315 lbs, 315 lbs, and 315 lbs"
1/22/20,2020,Deadlift : 20-20-20,Deadlift,60,0.65,450,295,17700,"17700 lbs | 295 lbs, 295 lbs, and 295 lbs"
1/20/20,2020,Deadlift : 20-20-20,Deadlift,60,0.75,450,335,20100,"20100 lbs | 335 lbs, 335 lbs, and 335 lbs"
1/17/20,2020,Deadlift : 20-20-20,Deadlift,60,0.65,450,295,17700,"17700 lbs | 295 lbs, 295 lbs, and 295 lbs"
1/15/20,2020,Deadlift : 20-20-20,Deadlift,60,0.6,450,275,16500,"16500 lbs | 275 lbs, 275 lbs, and 275 lbs"
1/13/20,2020,Deadlift : 20-20-20,Deadlift,60,0.7,450,315,18900,"18900 lbs | 315 lbs, 315 lbs, and 315 lbs"
1/10/20,2020,Deadlift : 10-10-10,Deadlift,30,0.7,450,315,9450,"9450 lbs | 315 lbs, 315 lbs, and 315 lbs"
1/8/20,2020,Deadlift : 10-10-10,Deadlift,30,0.65,450,295,8850,"8850 lbs | 295 lbs, 295 lbs, and 295 lbs"
1/6/20,2020,Deadlift : 10-10-10,Deadlift,30,0.75,450,335,10500,"10500 lbs | 335 lbs, 335 lbs, and 335 lbs"
1/2/20,2020,Deadlift : 10-10-10,Deadlift,30,0.65,450,295,8850,"8850 lbs | 295 lbs, 295 lbs, and 295 lbs"
12/31/19,2020,Deadlift : 10-10-10,Deadlift,30,0.6,450,270,8100,"8100 lbs | 270 lbs, 270 lbs, and 270 lbs"
12/29/19,2020,Deadlift : 10-10-10,Deadlift,30,0.7,450,315,9450,"9450 lbs | 315 lbs, 315 lbs, and 315 lbs"
12/26/19,2020,Deadlift : 20-20-20,Deadlift,60,0.55,450,245,14700,"14700 lbs | 245 lbs, 245 lbs, and 245 lbs"
